Harekeli Kelime;Kelime;Anlam
"نِتَكِيم";"nitekim";"Gerçekten, hakikaten, nitekim"
"مُذَكِّرَةٌ";"not";"Not, not defteri, not alma"
"أُوبْجِيكْتِف";"objective";"Nesnel, objektif, amaç, hedef"
"تَصْدِيقٌ";"onaylama";"Onaylama, tasdik etme, doğrulama"
"مَدْرَسَةٌ إِعْدَادِيَّةٌ";"ortaokul";"Ortaokul"
"أُورُورَاج";"oruraç";"Oruraç, bir tür kuş"
"أَوْدَى";"oydu";"Helak etti, yok etti, mahvetti"
"بَرْدَسُو";"pardösü";"Pardösü, palto"
"سَاعَةٌ";"saat";"Saat, zaman, vakit"
"sebze";"sebze";""
"سَجَّادَةٌ";"seccade";"Seccade, halı, kilim"
"عَطَشٌ";"susuzluk";"Susuzluk"
"مُتَلَبِّسٌ بِالْجَرِيمَةِ";"suçüstü";"Suçüstü, suç işlerken yakalanmış"
"تَرَنْسْكِرِيبْت";"transkript";"Transkript, yazıya dökme, kopyalama"
"بُرْتُقَالِيٌّ";"turuncu";"Turuncu, portakalla ilgili"
"أُحُدٌ";"uhud";"Uhud, Medine yakınlarında bir dağ"
"وَتُبْ";"vetübü";"Ve tövbe et"
"يُسَاعِدُ";"yardım etmek";"yardım etmek, desteklemek, yardımcı olmak"
"لَمْ يَخْرُجْ";"çıkmadı";"Çıkmadı, ayrılmadı, dışarı çıkmadı"
"إِسْطَنْبُولُ";"İstanbul";"İstanbul"
"إِسْبَانَاخ";"ıسبانخ";"Ispanak"
"ء";"ء";"Hemze, glottal durak"
"ءَانَاءُ";"ءَانَآء";"Vakitler, zamanlar, anlar"
"ءَانَسَ";"ءَانَسَ";"Alıştırdı, ünsiyet etti, hissetti, fark etti"
"أَبِيعُ";"ءبِيعٌ";"Satıyorum"
"أَتَيْتُمُوهُنَّ";"ءَتَيْتُمُوهُنَّ";"Onlara geldiniz, onlara getirdiniz"
"آثَابَ";"ءثاب";"ödüllendirdi, karşılığını verdi"
"أَجِبَ";"ءَجِبَ";"Şaşırdı, hayrete düştü"
"أَحْتَاجُ";"ءَحتاجُ";"İhtiyaç duyuyorum, ihtiyacım var"
"آخُذُ";"ءَخُذُ";"Alıyorum, alırım"
"أَخْلَاقُهُ";"ءَخلاقهُ";"Onun ahlakı, huyları"
"أُذَاكِرُ";"ءُذَاكِرُ";"Ders çalışıyorum, ezberliyorum"
"أَذْهَلَنِي";"ءذهلني";"Beni şaşırttı, beni hayrete düşürdü"
"أَرْشَدَنِي";"ءَرشَدَنِي";"Bana yol gösterdi, beni yönlendirdi"
"أَسْأَلُكَ";"ءَسْءَلُك";"Sana soruyorum, senden istiyorum"
"أَسْبَحُ";"ءَسْبَحُ";"Yüzüyorum"
"أُسْبُوعِيٍّ";"ءُسبُوعِيٍّ";"Haftalık"
"أَشْتَرِي";"ءَشتري";"Satın alıyorum"
"أَقْرَأُ";"ءَقْرَءُ";"Okuyorum, okurum"
"أَلِيٌّ";"ءَلِيٌّ";"Yüce, ulu, yüksek"
"أَمْرَاضِ";"ءَمْراضِ";"Hastalıklar"
"أُمَنَاءُ";"ءُمناَءُ";"Emanetçiler, güvenilir kişiler, vekiller"
"إِوَانٌ";"ءوان";"Salon, eyvan, hol"
"إِيجَادٌ";"ءِيجادُ";"Bulma, var etme, icat etme"
"آئِبٌ";"آئب";"Geri dönen, dönücü"
"آبٌ";"آب";"Su"
"آبَاءٌ";"آباء";"Babalar"
"آبَائِهِمْ";"آبائهم";"Onların babaları"
"آبَادٌ";"آباد";"Şenlenmiş, mamur, bayındır"
"آبَارٌ";"آبار";"Kuyular"
"آتٍ";"آت";"Gelen, gelecek olan"
"آتَاكَ";"آتاك";"Sana verdi, sana getirdi"
"آتَاهُ";"آتاه";"Ona verdi, ona getirdi"
"آتَى";"آتى";"verdi, getirdi, ulaştırdı"
"آتِيَةٌ";"آتِيَة";"Gelecek olan, gelen"
"آتِيكَ";"آتيك";"Sana geliyorum, sana geleceğim"
"آثَارٌ";"آثار";"Eserler, izler, kalıntılar"
"آثَارُهَا";"آثارها";"Eserleri, izleri, kalıntıları"
"آثَرَ";"آثر";"Tercih etti, yeğledi"
"آثَرَ عَلَى";"آثر على";"tercih etti, yeğledi"
"آثَرَهَا";"آثرها";"Onu tercih etti, onu yeğledi"
"آجَامٌ";"آجام";"Sazlık, kamışlık, orman"
"آجَرَ";"آجر";"Kiraladı, ücret ödedi"
"آجَلْتُكَ";"آجلتك";"Sana erteledim, sana mühlet verdim"
"آجُورٌ";"آجور";"Tuğla"
"آخَا";"آخا";"Kardeş oldu, kardeş edindi"
"آخِذٌ";"آخذ";"Alan, alıcı, tutan"
"آخِذَةٌ";"آخذة";"Alan, tutan, yakalayan"
"آخَرٌ";"آخَرٌ";"Başka, diğer"
"الْآخِرَةَ";"آخِرَتَ";"Ahiret, öbür dünya"
"آخَرُونَ";"آخرون";"Diğerleri, ötekiler"
"آخَى";"آخى";"Kardeşleşti, kardeş ilan etti"
"آدَابٌ";"آداب";"Görgü kuralları, edep, terbiye"
"آدَمَ";"آدَمَ";"Âdem"
"آدَمِيٌّ";"آدمي";"İnsani, beşeri, insan"
"آذَانٌ";"آذان";"Kulaklar"
"آذَتْ";"آذت";"İncitti, zarar verdi"
"آذَى";"آذى";"İncitti, zarar verdi, eziyet etti"
"آرَاءٌ";"آراء";"Görüşler, fikirler"
"آرِي";"آري";"Evet, evet anlamında kullanılan bir kelime"
"آزَرَ";"آزر";"Yardım etti, destekledi"
"آسِفٌ";"آسف";"Üzgün, pişman"
"آسَى";"آسى";"Teselli etti, acıdı, şefkat gösterdi"
"آسِي";"آسي";"Teselli eden, acıyan, şefkat gösteren"
"آسْيَا";"آسيا";"Asya"
"آسِيَةٌ";"آسية";"Asiye, acı çeken, üzülen"
"آسِيٌّ";"آسيي";"Asyalı"
"آصِعٌ";"آصع";"Ölçü birimi, sa'"
"آضَاءَتْ";"آضَاءَتْ";"Aydınlattı, ışık verdi"
"آضَى";"آضى";"Geri döndü, geri geldi"
"آفَاقٌ";"آفاق";"Ufuklar, görüş açıları, perspektifler"
"آفَاقِيٌّ";"آفاقي";"Ufuksal, ufukla ilgili, evrensel"
"آكَامٌ";"آكام";"Tepeler, küçük dağlar"
"آكَدَ";"آكد";"Pekiştirdi, sağlamlaştırdı, teyit etti"
"آكَلَ";"آكَل";"Yedi, tüketti"
"آكِلٌ";"آكل";"Yiyen, yiyici"
"آكِلَةٌ";"آكلة";"Yiyen dişil"
"آلٌ";"آل";"Aile, hanedan, sülale"
"آلَ";"آل";"Döndü, geri geldi, oldu, dönüştü"
"آلَاءُ";"آلاء";"Nimetler, lütuflar, ihsanlar"
"آلَاتٌ";"آلات";"Aletler, makineler, araçlar"
"آلَافٌ";"آلاف";"Binler"
"آلَافٍ";"آلاف";"Binler, binlerce"
"آلَامٌ";"آلام";"Acılar, ağrılar"
"اَلْبَاقِي";"آلباقي";"Kalan, baki kalan, sürekli olan"
"آلَةٌ";"آلة";"Alet, makine, cihaz, enstrüman"
"آلَةُ التَّصْوِيرِ";"آلة التصوير";"Fotoğraf makinesi"
"آلَةُ بِنَاءٍ";"آلة بناء";"İnşaat makinesi, inşaat aleti"
"آلَةٌ حَاسِبَةٌ";"آلة حاسبة";"Hesap makinesi"
"آلَفَ";"آلف";"Alıştı, uyum sağladı"
"آلَمَ";"آلم";"Acıttı, ağrıttı, elem verdi"
"آلِهٌ";"آله";"Alet, araç, makine"
"آلَى";"آلى";"Yemin etti, ant içti"
"آلِئٌ";"آلىء";"Geri dönen, sığınan"
"آلِيٌّ";"آلي";"Otomatik, mekanik"
"آلِيَّةٌ";"آلية";"Mekanizma, işleyiş, yöntem"
"آمِرٌ";"آمر";"Emreden, buyuran"
"آمُلُ";"آمل";"Umut ediyorum, diliyorum"
"آمِلٌ";"آمل";"Umut eden, arzu eden"
"آمَنَ";"آمن";"İnanmak, iman etmek, Güvenmek"
"آمِنٌ";"آمِن";"Emin, güvenli, inanan"
"آمِنًا";"آمنًا";"Güvenli bir şekilde, emin olarak"
"آمَنْتُ";"آمنت";"İnandım, iman ettim"
"آمِنُونَ";"آمِنُون";"İnananlar, güvenenler, emin olanlar"
"آنَ";"آن";"Şimdi, o an, zamanı geldi"
"آنٍ وَاحِدٍ";"آن واحد";"Aynı anda, bir anda"
"آنَاءُ";"آناء";"Vakitler, zamanlar"
"آنَسَ";"آنس";"Alıştırdı, ünsiyet etti, cana yakın davrandı, fark etti, hissetti"
"آنِسَتِي";"آنستي";"Hanımefendim"
"آنِفٌ";"آنف";"Az önce, biraz önce, geçen"
"آنِيَةٌ";"آنية";"Kap, kap kacak, mutfak eşyası"
"آهِلَةٌ";"آهلة";"Mesken tutulmuş, yaşanılan, dolu"
"آوِنَةٌ";"آونة";"Zaman, vakit, an"
"آيَاتٌ";"آيات";"Ayetler, deliller, işaretler"
"آيَةٌ";"آية";"Ayet, işaret, delil, mucize"
"آيَتَيْنِ";"آيتين";"İki ayet"
"أَأْمَنَ";"أأمن";"Emin kıldı, güven verdi, inandı, iman etti"
"أَؤُمُّ";"أؤم";"Önderlik ediyor, imamlık yapıyor, yöneliyor"
"أُؤَمِّلُ";"أؤمل";"Umut ediyorum, bekliyorum"
"أَئِمَّةٌ";"أئمة";"İmamlar, önderler, liderler"
"أَبٌ";"أب";"Baba"
"أَبٌّ";"أبّ";"Baba, ebeveyn"
"أَبَا";"أبا";"Reddetti, kaçındı"
"آبَاءَنَا";"أَبَاءَنَا";"Babalarımız"
"أَبَابِيلُ";"أبابيل";"Sürü sürü, bölük bölük"
"أُبَادِرُ";"أبادر";"Başlamak, girişmek, inisiyatif almak"
"أُبَارِكُ";"أبارك";"Tebrik ederim, kutlarım, mübarek kılarım"
"أَبَازِيرُ";"أبازير";"Baharatlar"
"أَبَاعَ";"أباع";"sattı, elden çıkardı"
"أُبَالِي";"أبالي";"Umursuyorum, önem veriyorum"
"أَبَانَ";"أبان";"Açıklamak, ortaya çıkarmak, belli etmek"
"أَبَانَا";"أبانا";"Babamız"
"أُبَاهِي";"أباهي";"Övünüyorum, gurur duyuyorum"
"أَبْجَدِيَّةٌ";"أبجدية";"Alfabe, abece"
"أَبْحَثُ";"أبحث";"Arıyorum, araştırıyorum"
"أَبْحَرَ";"أبحر";"Denize açıldı, yelken açtı, sefere çıktı"
"أَبْحَرَتْ";"أبحرت";"Denize açıldı, yola çıktı"
"أَبْخَسُ";"أبخس";"Daha değersiz, daha ucuz"
"أَبْخَلُ";"أبخل";"Daha cimri, en cimri"
"أَبْخَلْتَ";"أبخلت";"Cimrilik ettin, cimri davrandın"
"أَبْخَلْتُ";"أبخلت";"Cimrilik ettim, cimri davrandım"
"أَبْدَأُ";"أبدأ";"Başlıyorum, başlarım"
"أَبْدَالٌ";"أبدال";"Bedel, yerine geçenler, veliler"
"أُبْدِعَ";"أُبدع";"Yaratıldı, icat edildi"
"أَبْدَعَ فِي";"أَبْدَعَ فِي";"Bir şeyde mükemmel olmak, ustalaşmak, yaratıcı olmak"
"أُبَدِّلُ";"أُبَدِّل";"Değiştiriyorum, dönüştürüyorum"
"أَبْدَلَهُ";"أبدله";"Değiştirdi, yerine koydu"
"أَبْدُو";"أبدو";"Görünüyorum, ortaya çıkıyorum"
"أَبْدَى";"أَبْدَى";"Gösterdi, ortaya koydu, ifade etti"
"أَبَدِيَّةٌ";"أَبَدِيَّة";"Sonsuzluk, ebediyet"
"أَبَرَّ";"أبر";"İyilik yaptı, sadık kaldı, yeminini tuttu"
"أَبْرَحَ";"أبرح";"Ayrıldı, terk etti, yerinden oynattı"
"أَبْرَزَ";"أبرز";"Vurguladı, öne çıkardı, gösterdi"
"أَبْرِي";"أبري";"Aklıyorum, temize çıkarıyorum"
"أَبْرِيَاءُ";"أبرياء";"Masumlar, suçsuzlar"
"أَبْسَرَ";"أبسر";"Gördü, fark etti"
"أُبَسْمِلُ";"أُبَسْمِلُ";"Besmele çekiyorum"
"أَبْشَرَ";"أبشر";"Müjdeledi, sevindirdi"
"أَبْشِرْ";"أبشر";"Müjdele, sevindir"
"أُبَشِّرُكَ";"أبشرك";"Sana müjde veriyorum, sana haber veriyorum"
"أَبْشَعُ";"أبشع";"En çirkin, en kötü"
"أَبْصَارٌ";"أبصار";"Gözler, görüşler, basiretler"
"أَبْصَرَ";"أَبْصَرَ";"Gördü, fark etti, idrak etti"
"أَبْصِرْ بِهِ";"أبصر به";"Ne kadar da iyi görüyor!, Ne kadar da açık!"
"أَبْطَأَ";"أبطأ";"Yavaşladı, gecikti"
"أَبْطَأُ";"أَبْطَأُ";"En yavaş, daha yavaş"
"أَبْطَالٌ";"أبطال";"Kahramanlar, şampiyonlar"
"أَبْعَى";"أَبْعا";"Uzaklaştı, uzak oldu"
"أَبْعَثُ";"أبعث";"Gönderiyorum, yolluyorum"
"أَبْعَدَ";"أبعد";"Uzaklaştırdı, uzaklaştırmak"
"أَبْعِدْ";"أبعد";"Uzaklaştır, uzak tut"
"أَبْعَدَتْ";"أبعدت";"Uzaklaştırdı, uzaklaştırdı"
"أَبْغَدَ";"أبغد";"Uzaklaştırdı, nefret ettirdi"
"أَبَقَ";"أبق";"Kaçmak, firar etmek"
"أَبْقَى";"أبقي";"Bırakmak, alıkoymak, korumak, sürdürmek"
"أُبْقِيَ";"أُبقي";"Bırakıldı, alıkonuldu, korundu"
"أَبَكَ";"أبك";"Ağlamak, gözyaşı dökmek, (abk)"
"أَبْكِي";"أبكي";"Ağlıyorum"
"أَبَلَّ";"أبلَّ";"İyileşti, sağlığına kavuştu"
"أَبْلَةٌ";"أبلة";"Abla, öğretmen hanım"
"أَبْلَسَ";"أَبلَس";"Umutsuzluğa düştü, çaresiz kaldı"
"أَبْلَغُ";"أبْلغُ";"Daha beliğ, daha açık, daha etkili"
"أَبْلُغُ";"أَبْلُغُ";"Ulaşıyorum, varıyorum, bildiriyorum"
"أَبْنَاءُ";"أبناء";"Oğullar, çocuklar"
"أَبْنَاءَهَا";"أبناءها";"Onun oğulları, çocukları"
"أَبْنَائِهِ";"أبنائه";"Onun oğulları, onun çocukları"
"أَبْنَاؤُهُمْ";"أبناهم";"Onların oğulları, çocukları"
"أَبْنِي";"أبني";"İnşa ediyorum, yapıyorum"
"أَبْنِيَتَهَا";"أَبْنِيَتَها";"Onun binaları"
"أَبَهَ";"أبه";"Önemsemek, dikkat etmek, aldırmak"
"أَبْهَا";"أَبْهَا";"Abha şehri"
"أَبَوْا";"أبوا";"Reddettiler, kabul etmediler"
"أَبْوَابٌ";"أبواب";"Kapılar"
"أَبْوَابٍ";"أَبْوَابٍ";"Kapılar"
"أَبْوَابُهَا";"أبوابها";"Onun kapıları"
"أَبَوَانِ";"أبوان";"İki ebeveyn, anne ve baba"
"أَبَوَاهَا";"أبواها";"Onun iki ebeveyni"
"أَبُوهُ";"أبوه";"Onun babası"
"أَبَوِيٌّ";"أبوي";"Ataerkil, babacan"
"أَبَوَيْهِ";"أبويه";"İki ebeveyni, anne ve babası"
"أَبَى";"أَبَى";"Reddetmek, kabul etmemek, kaçınmak"
"أَبِي";"أبي";"Babam"
"أَبْيَضُ";"أبيض";"Beyaz"
"أَبِيهِمْ";"أَبِيهِم";"Babaları"
"أُتَابِعُ";"أتابع";"Takip ediyorum, izliyorum, devam ediyorum"
"أَتَاهُ";"أتاه";"Ona geldi, ona ulaştı"
"أَتْبَاعِهِ";"أتْبَاعِه";"Onun takipçileri, onun yandaşları"
"أَتْبَعَ";"أتبع";"Takip etmek, izlemek, peşinden gitmek"
"أَتَتْ";"أتت";"Geldi, ulaştı, getirdi"
"أَتَحَرَّجُ";"أتحرَّجُ";"Çekinirim, utanırım"
"أَتْرَاحٌ";"أتراح";"Kederler, üzüntüler"
"أَتْرِبَةٌ";"أتربة";"Topraklar, tozlar"
"أَتْرُكُ";"أَتْرُكَ";"Bırakıyorum, terk ediyorum"
"اُتْرُكْ";"أُتركْ";"Bırak, terk et"
"أَتَسَاءَلُ";"أتساءل";"Merak ediyorum, kendime soruyorum"
"أَتَسَوَّقُ";"أتسوق";"Alışveriş yapıyorum"
"أَتَصَفَّحُ";"أتصفح";"Geziniyorum, tarıyorum"
"أَتَعَارَفُ";"أتعارف";"Tanışıyorum, birbirini tanıyor"
"أَتْعَبَ";"أتعب";"Yordu, zahmet verdi"
"أَتْعَسَ";"أتعس";"Üzdü, mutsuz etti"
"أَتَعَشَّى";"أتعشى";"Akşam yemeği yiyorum"
"أَتَغَدَّى";"أتغدى";"Öğle yemeği yiyorum"
"أَتَّفِقُ";"أتفق";"Anlaşıyorum, uzlaşıyorum"
"أَتَفَوَّقُ";"أتفوق";"Üstün geliyorum, başarılı oluyorum"
"أَتْقَاكُمْ";"أتقاكم";"En takvalınız, en sakınanınız"
"أَتَقَدَّمُ";"أتقدم";"İlerliyorum, sunuyorum, başvuruyorum"
"أَتْقَنَ";"أتقن";"Mükemmelleştirmek, ustalaşmak, iyi yapmak"
"أَتْلَفَ";"أتلف";"Yok etmek, bozmak, harap etmek"
"أَتْلُو";"أتلو";"okuyorum, tilavet ediyorum"
"أَتَلُومُ";"أتلوم";"Kınarım, ayıplarım"
"أَتْمَتَةٌ";"أتمتة";"Otomasyon"
"أَتَمَتَّعَ";"أتمتَّعَ";"Zevk aldı, faydalandı"
"أَتَمَنَّى";"أتمنى";"Diliyorum, umuyorum"
"أَتَنَاوَلُ";"أَتَنَاوَل";"Alıyorum, yiyorum, içiyorum"
"أَتَنَقَّلُ";"أتنقل";"taşınıyorum, hareket ediyorum, dolaşıyorum"
"أَتُوبُ";"أتوب";"Tövbe ediyorum"
"أَتَوَجَّهَ";"أتَوَجَّهَ";"Yöneliyorum, yönelirim"
"أَتَوَجَّهُ";"أتوجه";"Yöneliyorum, yönelirim"
"أَتَوَقَّعُ";"أتوقع";"Bekliyorum, umuyorum"
"أُتُومَاتِيكِيًّا";"أتوماتيكياً";"Otomatik olarak"
"أَتَى";"أتى";"Gelmek, varmak, ulaşmak"
"أَتَيْتَ";"أَتَيْتَ";"Sen geldin, sen getirdin"
"أُتِيحَتْ";"أتيحت";"Mümkün kılındı, fırsat verildi"
"أَتَيْنَ";"أَتَيْنَ";"Geldiler, vardılar"
"أَتَيْنَا";"أتينا";"Geldik, getirdik"
"أَثْأَرَ";"أثأر";"İntikam aldı, öç aldı"
"أَثَاثٌ";"أثاث";"Mobilya, eşya"
"أَثَارَ";"أثار";"Uyandırmak, kışkırtmak, harekete geçirmek, neden olmak"
"أَثَارُ";"أَثَارُ";"Uyandırdı, kışkırttı, neden oldu"
"أَثْبَتَ";"أثبت";"Kanıtladı, ispat etti, doğruladı"
"أَثَّثَ";"أَثَّثَ";"Döşedi, mobilya ile donattı"
"أَثَرٌ";"أثر";"Eser, iz, etki"
"أَثَّرَ";"أَثَّرَ";"Etkiledi, tesir etti"
"أَثَرٌ تَارِيخِيٌّ";"أَثَرٌ تَارِيخِيٌّ";"Tarihi eser"
"أَثَّرَ عَلَى";"أثر على";"Etkiledi, tesir etti"
"أَثَّرَ فِي";"أثر في";"Etkilemek, tesir etmek"
"أَثَّرَتْ";"أثرت";"Etkiledi, tesir etti"
"أَثْرَى";"أثرى";"Zenginleştirdi, bolluk verdi"
"أَثْرِيَاءُ";"أثرياء";"Zenginler, varlıklılar"
"أَثِقُ";"أثق";"Güveniyorum, inanıyorum"
"أَثْقَلُ";"أثقل";"Daha ağır, en ağır"
"أَثْقَلَ كَاهِلَ";"أثقل كاهل";"Yükünü artırmak, omuzlarına yüklemek, ağırlaştırmak"
"أَثْلٌ";"أَثْل";"Ilgın ağacı"
"أَثْمَانٌ";"أثمان";"Fiyatlar, bedeller"
"أَثْمَرَ";"أثمر";"Meyve vermek, ürün vermek, sonuç vermek"
"أَثْنَاءَ";"أثناء";"Sırasında, esnasında, içinde"
"أَثِيرًا";"أثيرا";"Tercih edilen, seçkin"
"أَجَابَ";"أجاب";"Cevap verdi, yanıtladı"
"أَجَادَ";"أجاد";"İyi yaptı, mükemmelleştirdi, ustalaştı"
"أَجَازَ";"أَجَازَ";"İcazet verdi, izin verdi, onayladı"
"أَجَبَ";"أجب";"Cevap verdi, yanıtladı"
"أَجْبَانٌ";"أجبان";"Peynirler"
"أَجْبَرَ";"أجبر";"Zorladı, mecbur etti"
"أَجَّجَ";"أجج";"Ateşlemek, tutuşturmak, körüklemek"
"أَجِدُ";"أجد";"Buluyorum, hissediyorum"
"أَجْدَاثٌ";"أَجْدَاث";"Mezarlar, kabirler"
"أَجْدَادٌ";"أجداد";"Dedeler, atalar"
"أَجْدَادُهُ";"أجداده";"Onun dedeleri"
"أَجَرَ";"أَجَرَ";"Kiraladı, ücretlendirdi, ödüllendirdi"
"أَجَّرَ";"أَجَّر";"Kiraladı, icara verdi"
"أَجْرٌ";"أجر";"Ücret, karşılık, mükafat"
"أَجْرَأَ";"أجرأ";"Daha cesur oldu, cesaretlendirdi"
"أَجْرًا";"أَجْرًا";"Ücret, karşılık, mükafat"
"أَجَرَةٍ";"أَجَرَةٍ";"Ücret, kira"
"أَجَزَ";"أجَز";"İzin verdi, ruhsat verdi, cevaz verdi"
"أَجْزَأَ";"أجزأ";"Yeterli oldu, kâfi geldi, yerine geçti"
"أَجْزَاءٌ";"أجزاء";"Parçalar, kısımlar, bölümler"
"أَجْزَائِهِ";"أجزائه";"Onun parçaları, onun kısımları"
"أَجْزَمَ";"أجزم";"Kesin karar verdi, emin oldu, iddia etti"
"أَجْزِهِ";"أجزه";"Onu cezalandır, onu ödüllendir"
"أَجْزَى";"أجزى";"karşılığını verdi, ödüllendirdi, yeterli oldu"
"أَجْسَامٌ";"أجسام";"Vücutlar, cisimler"
"أَجْفَانٌ";"أجفان";"Göz kapakları"
"أَجَلٌ";"أَجل";"Evet, elbette, şüphesiz"
"أَجَلِ";"أَجَلِ";"Süre, vade, ecel"
"أَجَلَّ";"أجلّ";"Yüceltti, saygı gösterdi"
"أَجَلْ";"أَجَلْ";"Evet, elbette, şüphesiz"
"أَجَّلَ";"أجّل";"Ertelemek, geciktirmek"
"أَجْلِ";"أجل";"İçin, uğruna, sebebiyle"
"أَجْلًا";"أَجْلًا";"Elbette, evet, tabii ki"
"أَجْلِبْ";"أجلب";"Getir"
"أَجْلَسَ";"أجلس";"oturtmak, oturttu"
"أَجْلِسُ";"أجلس";"Oturuyorum, oturtuyorum"
"أَجْلَسْتُ";"أجلست";"Oturttum"
"أَجْلَى";"أجلى";"Tahliye etti, boşalttı, açıklığa kavuşturdu"
"إِجْمَالًا";"أجمالا";"Genel olarak, özetle"
"أَجَمَةٌ";"أجمة";"Sık ağaçlık, çalılık, orman"
"أَجْمَعُوا";"أجمعوا";"Toplandılar, birleştiler, ittifak ettiler"
"أَجْمَلُ";"أجمل";"Daha güzel, en güzel"
"أُجْمِلُ";"أُجمل";"Özetliyorum, kısaltıyorum, güzelleştiriyorum"
"أَجْنَبِيٌّ";"أجنبي";"Yabancı, ecnebi"
"أَجْنَبِيَّةٌ";"أجنبية";"Yabancı (dişil), ecnebi"
"أَجْهِزَةٌ";"أجهزة";"Cihazlar, aletler, aygıtlar"
"أَجْهِزَةٌ كَهْرَبَائِيَّةٌ";"أجهزة كهربائية";"Elektrikli ev aletleri, elektrikli cihazlar"
"أَجْهِزَتِي";"أجهزتي";"Cihazlarım, aletlerim"
"أَجْوَاءٌ";"أجواء";"Atmosfer, hava, ortam, durumlar"
"أَجْوَادٌ";"أجواد";"Cömertler, en cömertler"
"أُجُورٌ";"أَجور";"Ücretler, maaşlar"
